id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ID1,X,Y,LONGITUDE,LATITUDE,OBJECTID,geometry,MID_BLOCK,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,ACTIVATION_TIME,SIDE2,CLIENT_STREET_2,CLIENT_STREET_1,SIDE1,MI_PRINX,PRIVATE_ACCESS,TCS,ADDITIONAL_INFO,POLICE_DIVISION_1,WARD_1,WARD_3,WARD_2,WARD_4,NAME,DISTRICT,RLC,MAIN
1843,13465959,Richmond St E,Parliament St,1,NULL,NULL,NULL,NULL,1,"{'type': 'Point', 'coordinates': (-79.3640229981536, 43.65455901107341)}",NULL,NULL,NULL,2007-11-09,5:00:00 AM,NULL,PARLIAMENT ST,RICHMOND ST E,PARLIAMENT ST,1,NULL,223,NULL,51,Toronto Centre(13),NULL,NULL,NULL,Richmond St E And Parliament St,Toronto and East York,6001,RICHMOND ST E
1844,13467993,Lake Shore Blvd W,York St,2,NULL,NULL,NULL,NULL,2,"{'type': 'Point', 'coordinates': (-79.3808680070637, 43.6414600021636)}",NULL,NULL,NULL,2007-11-09,5:00:00 AM,NULL,YORK ST,LAKE SHORE BLVD W,YORK ST,2,NULL,205,WB LAKE SHORE BLVD,52,Spadina-Fort York(10),NULL,NULL,NULL,Lake Shore Blvd W And York St,Toronto and East York,6002,LAKE SHORE BLVD W
1845,13444656,Steeles Ave W,Carpenter Rd,3,NULL,NULL,NULL,NULL,3,"{'type': 'Point', 'coordinates': (-79.447588998966, 43.7920130014137)}",NULL,NULL,NULL,2007-11-09,5:00:00 AM,PRIVATE ACCESS,CARPENTER RD,STEELES AVE W,CARPENTER RD,3,SHOPPING CENTRE,1564,NULL,32,York Centre(6),NULL,NULL,NULL,Steeles Ave W And Carpenter Rd / Private Access @ Shopping Centre,North York,6003,STEELES AVE W
1846,13444138,Steeles Ave W,Hilda Ave,4,NULL,NULL,NULL,NULL,4,"{'type': 'Point', 'coordinates': (-79.4292670008865, 43.7960070062936)}",NULL,NULL,NULL,2007-11-09,5:00:00 AM,NULL,HILDA AVE,STEELES AVE W,HILDA AVE,4,NULL,1115,NULL,32,Willowdale(18),NULL,NULL,NULL,Steeles Ave W And Hilda Ave,North York,6004,STEELES AVE W
1847,13451893,Albion Rd,Silverstone Dr,5,NULL,NULL,NULL,NULL,5,"{'type': 'Point', 'coordinates': (-79.6000939933117, 43.7429520012624)}",NULL,NULL,NULL,2007-11-09,5:00:00 AM,NULL,SILVERSTONE DR,ALBION RD,SILVERSTONE DR,5,NULL,1156,NULL,23,Etobicoke North(1),NULL,NULL,NULL,Albion Rd And Silverstone Dr,Etobicoke York,6005,ALBION RD
1848,13459576,Dixon Rd,Kipling Ave,6,NULL,NULL,NULL,NULL,6,"{'type': 'Point', 'coordinates': (-79.5586490059244, 43.6942490044885)}",NULL,NULL,NULL,2008-03-18,4:00:00 AM,NULL,KIPLING AVE,DIXON RD,KIPLING AVE,6,NULL,435,NULL,23,Etobicoke North(1),NULL,Etobicoke Centre(2),NULL,Dixon Rd And Kipling Ave,Etobicoke York,6007,DIXON RD
1849,13448601,Steeles Ave W,Islington Ave,7,NULL,NULL,NULL,NULL,7,"{'type': 'Point', 'coordinates': (-79.5748709931268, 43.7643430030644)}",NULL,NULL,NULL,2008-10-28,4:00:00 AM,NULL,ISLINGTON AVE,STEELES AVE W,ISLINGTON AVE,7,NULL,1208,NULL,31,Humber River-Black Creek(7),NULL,NULL,NULL,Steeles Ave W And Islington Ave,Etobicoke York,6008,STEELES AVE W
1850,13450231,Sheppard Ave W,Wilson Heights Blvd,8,NULL,NULL,NULL,NULL,8,"{'type': 'Point', 'coordinates': (-79.4567510019211, 43.7516630010107)}",NULL,NULL,NULL,2009-03-17,4:00:00 AM,NULL,WILSON HEIGHTS BLVD,SHEPPARD AVE W,WILSON HEIGHTS BLVD,8,NULL,631,NULL,32,York Centre(6),NULL,NULL,NULL,Sheppard Ave W And Wilson Heights Blvd,North York,6009,SHEPPARD AVE W
1851,13449607,Bathurst St,Sheppard Ave W,9,NULL,NULL,NULL,NULL,9,"{'type': 'Point', 'coordinates': (-79.4384810044369, 43.7554580028968)}",NULL,NULL,NULL,2007-11-09,5:00:00 AM,NULL,SHEPPARD AVE W,BATHURST ST,SHEPPARD AVE W,9,NULL,672,NULL,32,York Centre(6),NULL,NULL,NULL,Bathurst St And Sheppard Ave W,North York,6010,BATHURST ST
1852,13455749,Lawrence Ave W,Marlee Ave,10,NULL,NULL,NULL,NULL,10,"{'type': 'Point', 'coordinates': (-79.4465200053405, 43.7156150035191)}",NULL,13,NULL,2008-03-19,4:00:00 AM,PRIVATE ACCESS,MARLEE AVE,LAWRENCE AVE W,MARLEE AVE,10,LAWRENCE SQUARE ACCESS,425,NULL,32,Eglinton-Lawrence(8),NULL,NULL,NULL,Lawrence Ave W And Marlee Ave / Private Access @ Lawrence Square Access,North York,6011,LAWRENCE AVE W
