ACCNUM,ObjectId,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY
892658,1,Driver,unknown,1,NULL,South,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
892658,2,Pedestrian,65 to 69,2,NULL,North,Other,NULL,NULL,NULL,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Unknown,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
892810,3,Motorcycle Driver,45 to 49,2,NULL,East,Motorcycle,Turning Right,Disobeyed Traffic Control,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL
892810,4,Driver,unknown,1,NULL,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL
892682,5,Driver,25 to 29,1,NULL,West,"Automobile, Station Wagon",Going Ahead,Other,"Ability Impaired, Alcohol",NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL
892682,6,Pedestrian,30 to 34,3,NULL,South,Other,NULL,NULL,NULL,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL
892682,7,Pedestrian,40 to 44,2,NULL,South,Other,NULL,NULL,NULL,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL
892913,8,Driver,30 to 34,1,NULL,East,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,"Ability Impaired, Alcohol Over .08",NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL
892913,9,Pedestrian,25 to 29,4,NULL,West,Other,NULL,NULL,NULL,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL
893251,10,Driver,40 to 44,1,NULL,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
