ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,collision_lat,collision_long,red_light_lat,red_light_long,right_light_camera,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ACTIVATION_DATE
1371427,2013,00:00.0,1407,14,390 QUEENS QUAY W,NULL,NULL,3,Toronto and East York,10,52,Mid-Block,NULL,Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D52,77,Waterfront Communities-The Island (77),-79.3906,43.6379,NULL,NULL,N,NULL,NULL,NULL
1372930,2013,00:00.0,2200,22,DUFFERIN ST,SHANLY ST,NULL,1,Toronto and East York,9,NULL,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Rear End,D11,93,Dovercourt-Wallace Emerson-Junction (93),-79.4366,43.6629,NULL,NULL,N,NULL,NULL,NULL
1360626,2013,00:00.0,1157,11,O CONNOR DR,RIVERCOURT BLVD,NULL,1,Toronto and East York,14,54,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D54,58,Old East York (58),-79.3481,43.6936,NULL,NULL,N,NULL,NULL,NULL
1386391,2013,00:00.0,1430,14,DANFORTH Road,MACK Aven,NULL,3,Scarborough,20,41,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,D41,121,Oakridge (121),-79.2726,43.7001,NULL,NULL,N,NULL,NULL,NULL
1376926,2013,00:00.0,1758,17,244 CALEDONIA Rd,NULL,NULL,3,Toronto and East York,9,13,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D13,109,Caledonia-Fairbank (109),-79.4576,43.6822,NULL,NULL,N,NULL,NULL,NULL
1377196,2013,00:00.0,2240,22,DUFFERIN St,HOLMESDALE Rd,NULL,1,Toronto and East York,NULL,13,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,D13,107,Oakwood Village (107),-79.4473,43.6886,NULL,NULL,N,NULL,NULL,NULL
1372437,2013,00:00.0,1115,11,ST CLAIR AVE W,WELLS HILL AVE,NULL,1,Toronto and East York,12,13,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D13,96,Casa Loma (96),-79.415,43.6837,NULL,NULL,N,NULL,NULL,NULL
1362811,2013,00:00.0,1316,13,MARTIN GROVE RD,409 E MARTIN GROVE RAMP,NULL,1,Etobicoke York,1,23,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D23,1,West Humber-Clairville (1),-79.5737,43.6979,NULL,NULL,N,NULL,NULL,NULL
1351458,2013,00:00.0,2110,21,STEELES Ave E,BIRCHMOUNT Rd,NULL,1,Scarborough,22,42,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Cyclist Collisions,D42,116,Steeles (116),-79.3168,43.8213,NULL,NULL,N,NULL,NULL,NULL
1351606,2013,00:00.0,1846,18,KENNEDY RD,401 C E KENNEDY RAMP RD E,NULL,1,Scarborough,21,41,Intersection,At Intersection,Traffic Signal,Clear,Dusk,Dry,Fatal,Cyclist Collisions,D41,126,Dorset Park (126),-79.2838,43.7731,-79.2838,43.7731,Y,Kennedy Rd,401 C E Kennedy Rd Ramp,2017-12-19
1377456,2013,00:00.0,1355,13,KENNEDY RD,MCNICOLL Ave,NULL,1,Scarborough,22,42,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D42,130,Milliken (130),-79.3019,43.8121,-79.3019,43.8121,Y,Kennedy Rd,McNicoll Ave,2017-09-28
1379372,2013,00:00.0,1240,12,DUFFERIN ST,JOE SHUSTER  WAY,NULL,3,Toronto and East York,NULL,14,Intersection,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D14,85,South Parkdale (85),-79.4283,43.6415,NULL,NULL,N,NULL,NULL,NULL
1348211,2013,00:00.0,924,9,SHEPPARD AVE W,FAYWOOD BLVD,NULL,1,North York,6,32,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D32,33,Clanton Park (33),-79.4518,43.7526,NULL,NULL,N,NULL,NULL,NULL
4001361731,2014,00:00.0,1528,15,JANE ST,PRITCHARD AVE,NULL,1,Etobicoke York,5,12,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D12,111,Rockcliffe-Smythe (111),-79.4928,43.6694,NULL,NULL,N,NULL,NULL,NULL
142657110,2014,00:00.0,2214,22,ST CLAIR AVE W,LANSDOWNE AVE,NULL,1,Toronto and East York,9,13,Mid-Block,NULL,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,D13,92,Corso Italia-Davenport (92),-79.4519,43.6759,NULL,NULL,N,NULL,NULL,NULL
4002360451,2014,00:00.0,2024,20,BEECROFT RD,PARK HOME AVE,NULL,3,North York,18,32,Mid-Block,Non Intersection,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,D32,37,Willowdale West (37),-79.4157,43.767,NULL,NULL,N,NULL,NULL,NULL
1371162,2013,00:00.0,1525,15,ISLINGTON AVE,401 C E ISLINGTON N RAMP E,NULL,1,Etobicoke York,1,23,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D23,6,Kingsview Village-The Westway (6),-79.5518,43.7084,NULL,NULL,N,NULL,NULL,NULL
4001460471,2014,00:00.0,1043,10,OLD WESTON RD,ROGERS RD,NULL,3,Etobicoke York,NULL,12,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D12,110,Keelesdale-Eglinton West (110),-79.4674,43.6815,NULL,NULL,N,NULL,NULL,NULL
1337045,2012,00:00.0,1603,16,EGLINTON AVE E,DON VALLEY PARKWAY  N,NULL,1,North York,16,NULL,Intersection,NULL,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,SMV Other,D54,44,Flemingdon Park (44),-79.33,43.7231,NULL,NULL,N,NULL,NULL,NULL
1338518,2012,00:00.0,420,4,730 ROYAL YORK RD,NULL,NULL,3,Etobicoke York,3,22,Mid-Block,NULL,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,D22,16,Stonegate-Queensway (16),-79.506,43.6347,NULL,NULL,N,NULL,NULL,NULL
4002131801,2014,00:00.0,2020,20,LESLIE ST,ESTHER SHINER BLVD,NULL,1,North York,17,33,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,D33,52,Bayview Village (52),-79.3642,43.7694,NULL,NULL,N,NULL,NULL,NULL
1377550,2013,00:00.0,1800,18,LAWRENCE Ave W,WESTON Rd,NULL,1,Etobicoke York,5,12,Intersection,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D12,113,Weston (113),-79.5161,43.7001,NULL,NULL,N,NULL,NULL,NULL
1385904,2013,00:00.0,1200,12,MORNINGSIDE AVE,401 C E MORNINGSIDE AVE S RAMP,NULL,1,Scarborough,NULL,43,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,D43,134,Highland Creek (134),-79.1965,43.7948,NULL,NULL,N,NULL,NULL,NULL
3000777885,2013,00:00.0,700,7,SCARLETT RD,LAWRENCE AVE W,234 m South of,1,Etobicoke York,2,23,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D23,8,Humber Heights-Westmount (8),-79.5232,43.6981,NULL,NULL,N,NULL,NULL,NULL
3001029733,2013,00:00.0,1018,10,EGLINTON AVE E,OSWEGO RD,NULL,1,Scarborough,NULL,43,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Approaching,D43,138,Eglinton East (138),-79.2447,43.7374,NULL,NULL,N,NULL,NULL,NULL
3001022701,2013,00:00.0,130,1,WINSTON PARK BLVD,ANTHONY RD,NULL,4,North York,6,32,Intersection,At/Near Private Drive,Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Unattended Vehicle,D32,26,Downsview-Roding-CFB (26),-79.4711,43.7278,NULL,NULL,N,NULL,NULL,NULL
3000936395,2013,00:00.0,1900,19,955 BAY ST,NULL,NULL,1,Toronto and East York,NULL,52,Intersection,Private Driveway,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,D52,76,Bay Street Corridor (76),-79.3871,43.6643,NULL,NULL,N,NULL,NULL,NULL
1377536,2013,00:00.0,1050,10,BROADVIEW AVE,DUNDAS ST E,NULL,1,Toronto and East York,14,55,Intersection,NULL,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,D55,70,South Riverdale (70),-79.3513,43.6624,NULL,NULL,N,NULL,NULL,NULL
