ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,geometry
1376894,2013,00:00.0,1627,16,CHURCH ST,HAYDEN ST,NULL,3,Toronto and East York,11,51,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D51,75,Church-Yonge Corridor (75),"{'type': 'Point', 'coordinates': (-79.3828, 43.670149)}"
1376926,2013,00:00.0,1758,17,244 CALEDONIA Rd,NULL,NULL,3,Toronto and East York,9,13,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D13,109,Caledonia-Fairbank (109),"{'type': 'Point', 'coordinates': (-79.457691, 43.682246)}"
1366122,2013,00:00.0,1939,19,BROADVIEW Ave,DANFORTH Ave,NULL,3,Toronto and East York,14,54,Mid-Block,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D54,67,Playter Estates-Danforth (67),"{'type': 'Point', 'coordinates': (-79.35889, 43.676545)}"
1365311,2013,00:00.0,1959,19,WILSON HEIGHTS BLVD,WATERLOO AVE,NULL,2,North York,6,32,Intersection,At Intersection,Traffic Signal,Clear,Dusk,Dry,Non-Fatal Injury,Pedestrian Collisions,D32,34,Bathurst Manor (34),"{'type': 'Point', 'coordinates': (-79.45989, 43.755345)}"
1366152,2013,00:00.0,2225,22,WATSON ST,OLD KINGSTON RD,NULL,3,Scarborough,25,43,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,D43,133,Centennial Scarborough (133),"{'type': 'Point', 'coordinates': (-79.172488, 43.782145)}"
1377196,2013,00:00.0,2240,22,DUFFERIN St,HOLMESDALE Rd,NULL,1,Toronto and East York,NULL,13,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,D13,107,Oakwood Village (107),"{'type': 'Point', 'coordinates': (-79.44736, 43.688601)}"
1377456,2013,00:00.0,1355,13,KENNEDY RD,MCNICOLL Ave,NULL,1,Scarborough,22,42,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,D42,130,Milliken (130),"{'type': 'Point', 'coordinates': (-79.301936, 43.812129)}"
1365621,2013,00:00.0,1845,18,FINCH AVE E,MIDLAND AVE,NULL,1,Scarborough,NULL,42,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D42,129,Agincourt North (129),"{'type': 'Point', 'coordinates': (-79.28629, 43.803745)}"
1382978,2013,00:00.0,1153,11,KENNEDY RD,KENMARK BLVD,NULL,1,Scarborough,20,41,Intersection,NULL,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D41,124,Kennedy Park (124),"{'type': 'Point', 'coordinates': (-79.266986, 43.729945)}"
1379135,2013,00:00.0,2124,21,CHRISTIE St,DAVENPORT Rd,NULL,3,Toronto and East York,12,13,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,D13,94,Wychwood (94),"{'type': 'Point', 'coordinates': (-79.423084, 43.675551)}"
1366764,2013,00:00.0,1850,18,185 FALLINGBROOK RD,NULL,NULL,2,Scarborough,20,41,Intersection,NULL,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,D41,122,Birchcliffe-Cliffside (122),"{'type': 'Point', 'coordinates': (-79.280292, 43.684645)}"
1378518,2013,00:00.0,2217,22,DUFFERIN St,MARTIN ROSS Ave,NULL,1,North York,6,32,Intersection,NULL,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Approaching,D32,34,Bathurst Manor (34),"{'type': 'Point', 'coordinates': (-79.468326, 43.775248)}"
1328909,2012,00:00.0,125,1,WARDEN AVE,TOWER DR,NULL,1,Scarborough,21,41,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,D41,119,Wexford/Maryvale (119),"{'type': 'Point', 'coordinates': (-79.29839, 43.754345)}"
1379372,2013,00:00.0,1240,12,DUFFERIN ST,JOE SHUSTER  WAY,NULL,3,Toronto and East York,NULL,14,Intersection,NULL,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D14,85,South Parkdale (85),"{'type': 'Point', 'coordinates': (-79.428363, 43.641524)}"
