_id,Location_Code,ward,Status,location,geometry
5401,A151,1 - Etobicoke North,Active,Kipling Ave. South of Snaresbrook Dr.,"{'type': 'Point', 'coordinates': (-79.571337, 43.721092)}"
5402,A152,1 - Etobicoke North,Active,Silverstone Dr. North of Avening Dr.,"{'type': 'Point', 'coordinates': (-79.595815, 43.738316)}"
5403,A153,2 - Etobicoke Centre,Active,The Westway West of Brampton Rd.,"{'type': 'Point', 'coordinates': (-79.56139, 43.684686)}"
5404,A154,2 - Etobicoke Centre,Active,Montgomery Rd. Near Loyalist Rd.,"{'type': 'Point', 'coordinates': (-79.522707, 43.650985)}"
5405,A155,3 - Etobicoke-Lakeshore,Active,Birmingham St. West of Kipling Ave.,"{'type': 'Point', 'coordinates': (-79.519132, 43.600467)}"
5406,A156,3 - Etobicoke-Lakeshore,Active,Royal York Rd. North of Coney Rd.,"{'type': 'Point', 'coordinates': (-79.506245, 43.635061)}"
5407,A157,4 -  Parkdale-High Park,Active,Priscilla Ave. South of Dundas St. W.,"{'type': 'Point', 'coordinates': (-79.48884500000001, 43.663813000000005)}"
5408,A158,4 -  Parkdale-High Park,Active,Jane St. South of Weatherell St.,"{'type': 'Point', 'coordinates': (-79.485329, 43.651459)}"
5409,A159,5 - York South-Weston,Active,Lawrence Ave. W. East of Martini Dr.,"{'type': 'Point', 'coordinates': (-79.501502, 43.703265)}"
5410,A160,5 - York South-Weston,Active,King St. South of George St,"{'type': 'Point', 'coordinates': (-79.520012, 43.702058)}"
5411,A161,6 - York Centre,Active,Sheppard Ave. W. East of Buckland Rd.,"{'type': 'Point', 'coordinates': (-79.502757, 43.741206)}"
5412,A162,6 - York Centre,Active,Faywood Blvd. Near Norcross Rd.,"{'type': 'Point', 'coordinates': (-79.451329, 43.751653)}"
5413,A163,7 - Humber River-Black Creek,Active,Jane St. North of Clair Rd.,"{'type': 'Point', 'coordinates': (-79.513888, 43.74218)}"
5414,A164,7 - Humber River-Black Creek,Active,Yorkwoods Gate. East of Jane St.,"{'type': 'Point', 'coordinates': (-79.514669, 43.751013)}"
5415,A165,8 - Eglinton-Lawrence,Active,Glenmount Ave. Near Madoc Dr.,"{'type': 'Point', 'coordinates': (-79.43208, 43.716315)}"
5416,A166,8 - Eglinton-Lawrence,Active,Avenue Rd. South of Caribou Rd.,"{'type': 'Point', 'coordinates': (-79.415062, 43.720427)}"
5417,A167,9 - Davenport,Active,Dufferin St. North of Norton Ave.,"{'type': 'Point', 'coordinates': (-79.443567, 43.679207)}"
5418,A168,9 - Davenport,Active,Oakwood Ave. Near Biggar Ave.,"{'type': 'Point', 'coordinates': (-79.435508, 43.678625)}"
5419,A169,10 - Spadina-Fort York,Active,Queens Quay East of Bathurst St.,"{'type': 'Point', 'coordinates': (-79.39768900000001, 43.636104)}"
5420,A020,10 - Spadina-Fort York,Active,Givins St. South of Argyle St.,"{'type': 'Point', 'coordinates': (-79.418101, 43.646066)}"
5421,A170,11 - University-Rosedale,Active,Davenport Rd. Near Bishop St.,"{'type': 'Point', 'coordinates': (-79.392113, 43.674231)}"
5422,A171,11 - University-Rosedale,Active,Beverley St. Near D'Arcy St.,"{'type': 'Point', 'coordinates': (-79.394266, 43.654858)}"
5423,A172,12 - Toronto-St. Pauls,Active,Bathurst St. Near Ardmore Rd.,"{'type': 'Point', 'coordinates': (-79.422577, 43.693662)}"
5424,A173,12 - Toronto-St. Pauls,Active,Arlington Ave. South of Durham Ave.,"{'type': 'Point', 'coordinates': (-79.433017, 43.691502)}"
5425,A174,13 - Toronto Centre,Active,Queen St. E. Near Sackville St.,"{'type': 'Point', 'coordinates': (-79.361694, 43.65621)}"
5426,A175,13 - Toronto Centre,Active,Isabella St. West of Sherbourne St.,"{'type': 'Point', 'coordinates': (-79.37682, 43.669437)}"
5427,A176,14 - Toronto-Danforth,Active,Donlands Ave. Near Memorial Park Ave.,"{'type': 'Point', 'coordinates': (-79.341014, 43.689517)}"
5428,A177,14 - Toronto-Danforth,Active,Westwood Ave. West of Carlaw Ave.,"{'type': 'Point', 'coordinates': (-79.351208, 43.685962)}"
5429,A178,15 - Don Valley West,Active,Lawrence Ave. E. East of Mildenhall Rd.,"{'type': 'Point', 'coordinates': (-79.384666, 43.728136)}"
5430,A179,15 - Don Valley West,Active,Banbury Rd. Near Portsmith Rd.,"{'type': 'Point', 'coordinates': (-79.37075, 43.754147)}"
5431,A180,16 - Don Valley East,Active,Scarsdale Rd. South of York Mills Rd.,"{'type': 'Point', 'coordinates': (-79.354894, 43.749876)}"
5432,A181,16 - Don Valley East,Active,Wallingford Rd. North of Cassandra Blvd.,"{'type': 'Point', 'coordinates': (-79.321751, 43.755113)}"
5433,A182,17 - Don Valley North,Active,Victoria Park Ave. North of Old Sheppard Ave.,"{'type': 'Point', 'coordinates': (-79.325995, 43.781617)}"
5434,A183,17 - Don Valley North,Active,Brian Dr.  North of Clydesdale Dr.,"{'type': 'Point', 'coordinates': (-79.332558, 43.78279)}"
5435,A184,18 -  Willowdale,Active,Senlac Rd.  South of Horsham Ave.,"{'type': 'Point', 'coordinates': (-79.42789, 43.771045)}"
5436,A185,18 -  Willowdale,Active,Cactus Ave.  North of Moore Park Ave.,"{'type': 'Point', 'coordinates': (-79.433572, 43.790911)}"
5437,A186,19 - Beaches-East York,Active,O'Connor Dr.  Near Wakunda Place.,"{'type': 'Point', 'coordinates': (-79.304936, 43.716203)}"
