ACTIVATION_DATE,NAME,DISTRICT,RLC,Longitude,Latitude,Month,Year
2007-11-09,Richmond St E And Parliament St,Toronto and East York,6001,-79.364,43.6545,November,2007
2007-11-09,Lake Shore Blvd W And York St,Toronto and East York,6002,-79.3808,43.6414,November,2007
2007-11-09,Steeles Ave W And Carpenter Rd / Private Access @ Shopping Centre,North York,6003,-79.4475,43.792,November,2007
2007-11-09,Steeles Ave W And Hilda Ave,North York,6004,-79.4292,43.796,November,2007
2007-11-09,Albion Rd And Silverstone Dr,Etobicoke York,6005,-79.6,43.7429,November,2007
2008-03-18,Dixon Rd And Kipling Ave,Etobicoke York,6007,-79.5586,43.6942,March,2008
2008-10-28,Steeles Ave W And Islington Ave,Etobicoke York,6008,-79.5748,43.7643,October,2008
2009-03-17,Sheppard Ave W And Wilson Heights Blvd,North York,6009,-79.4567,43.7516,March,2009
2007-11-09,Bathurst St And Sheppard Ave W,North York,6010,-79.4384,43.7554,November,2007
2008-03-19,Lawrence Ave W And Marlee Ave / Private Access @ Lawrence Square Access,North York,6011,-79.4465,43.7156,March,2008
2008-08-11,Bathurst St And Lawrence Ave W,North York,6012,-79.4298,43.7192,August,2008
2009-03-17,Bayview Ave And Cummer Ave,North York,6013,-79.3935,43.7922,March,2009
2008-05-29,Leslie St And Lawrence Ave E,North York,6015,-79.3559,43.7345,May,2008
2009-08-05,Leslie St And York Mills Rd,North York,6016,-79.3599,43.7529,August,2009
2008-03-31,Bayview Ave And Truman Rd / Fifeshire Rd,North York,6017,-79.3866,43.7605,March,2008
2008-10-09,Midland Ave And Mcnicoll Ave,Scarborough,6018,-79.2922,43.8145,October,2008
2009-03-17,Steeles Ave E And Birchmount Rd,Scarborough,6019,-79.3169,43.8213,March,2009
2008-08-11,Warden Ave And Arkona Dr / Cloverleaf Gt,Scarborough,6020,-79.3053,43.773,August,2008
2008-05-29,Steeles Ave E And Brimley Rd,Scarborough,6021,-79.2872,43.8282,May,2008
2008-08-11,College St And Bathurst St,Toronto and East York,6022,-79.4077,43.6564,August,2008
2008-08-11,Morningside Ave And Lawrence Ave E,Scarborough,6023,-79.1862,43.7684,August,2008
2009-03-19,Dixon Rd And Carlingview Dr,Etobicoke York,6024,-79.5955,43.6867,March,2009
2009-03-19,Dufferin St And Glencairn Ave,North York,6025,-79.4531,43.7069,March,2009
2008-10-29,Overlea Blvd And Thorncliffe Park Dr,North York,6026,-79.3436,43.7074,October,2008
2008-03-28,Kennedy Rd And Ellesmere Rd,Scarborough,6027,-79.281,43.7658,March,2008
2008-10-21,Leslie St And Finch Ave E,North York,6028,-79.368,43.79,October,2008
