ACCNUM,INVTYPE,INVAGE,INJURY_ID,VEHTYPE,SPEEDING,REDLIGHT,ALCOHOL,YEAR,DATE,TIME,HOUR,STREET1,STREET2,ROAD_CLASS_ID,LOCCOORD,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,Longitude,Latitude,Month,Day_of_Week
25301,Driver,75 to 79,1.0,"Automobile, Station Wagon",,,,2020,2020-01-04,1850,18,EGLINTON AVE E,BAYVIEW AVE,1.0,Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.3771,43.7109,January,Saturday
26294,Pedestrian,65 to 69,2.0,,,,,2020,2020-01-04,2214,22,256 JARVIS ST,,1.0,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,-79.3755,43.6595,January,Saturday
37330,Driver,50 to 54,1.0,"Automobile, Station Wagon",,,,2020,2020-01-06,1555,15,DUNDAS ST W,SHERIDAN AVE,3.0,Intersection,Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4336,43.6496,January,Monday
45664,Driver,50 to 54,5.0,"Automobile, Station Wagon",,,,2020,2020-01-07,1850,18,EGLINTON AVE E,PHARMACY AVE,1.0,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,-79.2974,43.7255,January,Tuesday
56815,Driver,45 to 49,1.0,Delivery Van,Yes,Yes,,2020,2020-01-09,1100,11,MARTIN GROVE RD,BELFIELD RD,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,-79.5755,43.7018,January,Thursday
66893,Driver,55 to 59,1.0,"Automobile, Station Wagon",,,,2020,2020-01-10,1721,17,CRUIKSHANK AVE,CARLAW AVE,2.0,Intersection,Stop Sign,Rain,"Dark, artificial",Wet,Non-Fatal Injury,SMV Other,-79.3481,43.6806,January,Friday
73153,Driver,unknown,1.0,"Automobile, Station Wagon",,,,2020,2020-01-11,1625,16,FORT YORK BLVD,DAN LECKIE WAY,4.0,Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,SMV Other,-79.3979,43.6393,January,Saturday
74293,Driver,40 to 44,1.0,"Automobile, Station Wagon",,,,2020,2020-01-11,1938,19,WESTON RD,DORA SPENCER RD,3.0,Intersection,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,-79.5027,43.6919,January,Saturday
75272,Driver,20 to 24,1.0,"Automobile, Station Wagon",,,,2020,2020-01-11,2257,22,ST CLAIR AVE W,GLENHOLME AVE,1.0,Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,-79.4385,43.6789,January,Saturday
76304,Driver,30 to 34,3.0,"Automobile, Station Wagon",,,,2020,2020-01-12,330,3,FRONT ST W,JOHN ST,3.0,Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,-79.3886,43.6438,January,Sunday
93249,Driver,35 to 39,1.0,Pick Up Truck,,,,2020,2020-01-14,1356,13,LAKE SHORE BV E,DON RY,,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.3497,43.6519,January,Tuesday
95001,Driver,25 to 29,1.0,"Automobile, Station Wagon",,,,2020,2020-01-14,1812,18,MCLEVIN AVE,TAPSCOTT RD,3.0,Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.2266,43.8051,January,Tuesday
105298,Driver,60 to 64,1.0,Pick Up Truck,,,,2020,2020-01-16,540,5,DANZIG ST,MORNINGSIDE AVE,3.0,Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,-79.1848,43.7647,January,Thursday
117822,Driver,60 to 64,1.0,"Automobile, Station Wagon",,,,2020,2020-01-17,1915,19,MALLINGHAM CRT,BAYVIEW AVE,1.0,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,-79.3882,43.7674,January,Friday
118659,Driver,30 to 34,4.0,"Automobile, Station Wagon",,,Yes,2020,2020-01-17,2140,21,THE EAST ML,CORONET RD,,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Sideswipe,-79.5497,43.6228,January,Friday
121282,Driver,60 to 64,4.0,"Automobile, Station Wagon",,,,2020,2020-01-18,955,9,ALBION RD,CARRIER DR,1.0,Intersection,Traffic Signal,Snow,Daylight,Wet,Non-Fatal Injury,SMV Other,-79.6142,43.7454,January,Saturday
128407,Passenger,15 to 19,4.0,"Automobile, Station Wagon",Yes,,,2009,2009-09-01,2140,21,PICKERING TOWN LINE,STEELES AVE E,4.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,-79.1696,43.8541,September,Tuesday
