ACCNUM,ObjectId,INVTYPE,INVAGE,INJURY,VEHTYPE,MANOEUVER,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOUR,TIME,VISIBILITY,LIGHT,collision_lat,collision_long
56815,16515,Driver,45 to 49,None,Delivery Van,Going Ahead,0,0,1,0,0,0,0,0,1,1,1,0,0,11,1100,Clear,Daylight,-79.5755,43.7018
56815,16516,Driver,50 to 54,Major,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,0,1,1,1,0,0,11,1100,Clear,Daylight,-79.5755,43.7018
56815,16517,Driver,55 to 59,None,Pick Up Truck,Going Ahead,0,0,1,0,0,0,0,0,1,1,1,0,0,11,1100,Clear,Daylight,-79.5755,43.7018
56815,16518,Driver,35 to 39,None,"Automobile, Station Wagon",Stopped,0,0,1,0,0,0,0,0,1,1,1,0,0,11,1100,Clear,Daylight,-79.5755,43.7018
93249,16533,Driver,35 to 39,None,Pick Up Truck,Turning Left,0,0,1,0,0,0,0,1,0,0,0,0,0,14,1356,Clear,Daylight,-79.3497,43.6519
93249,16534,Driver,65 to 69,Major,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,0,0,0,0,14,1356,Clear,Daylight,-79.3497,43.6519
93249,16535,Passenger,45 to 49,None,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,0,0,0,0,14,1356,Clear,Daylight,-79.3497,43.6519
121282,16547,Driver,60 to 64,Major,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,0,0,0,0,0,1,10,955,Snow,Daylight,-79.6142,43.7454
296685,16590,Driver,55 to 59,None,Passenger Van,Going Ahead,1,0,1,0,0,0,0,0,0,0,0,0,0,14,1355,Clear,Daylight,-79.4295,43.7183
296685,16591,Pedestrian,10 to 14,Major,NULL,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,14,1355,Clear,Daylight,-79.4295,43.7183
296685,16592,Pedestrian,10 to 14,None,NULL,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,14,1355,Clear,Daylight,-79.4295,43.7183
418177,16163,Driver,45 to 49,None,"Automobile, Station Wagon",Going Ahead,1,0,1,0,0,0,0,0,0,1,0,0,0,7,650,Clear,Dawn,-79.3682,43.6511
418177,16164,Pedestrian,45 to 49,Major,NULL,NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,7,650,Clear,Dawn,-79.3682,43.6511
429600,16170,Driver,55 to 59,None,"Automobile, Station Wagon",Going Ahead,1,0,1,0,0,0,0,1,0,1,1,0,0,17,1716,Clear,Daylight,-79.5949,43.7359
429600,16171,Passenger,30 to 34,None,NULL,NULL,1,0,1,0,0,0,0,1,0,1,1,0,0,17,1716,Clear,Daylight,-79.5949,43.7359
429600,16172,Pedestrian,50 to 54,Major,NULL,NULL,1,0,1,0,0,0,0,1,0,1,1,0,0,17,1716,Clear,Daylight,-79.5949,43.7359
442335,16175,Driver,50 to 54,None,Pick Up Truck,Turning Left,1,0,1,0,0,0,0,0,0,1,0,0,0,14,1410,Rain,Daylight,-79.2839,43.6873
442335,16176,Pedestrian,60 to 64,Major,NULL,NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,14,1410,Rain,Daylight,-79.2839,43.6873
488737,16191,Motorcycle Driver,20 to 24,Fatal,Motorcycle,Going Ahead,0,0,0,1,0,0,0,0,0,0,0,0,0,14,1400,Clear,Daylight,-79.2643,43.7122
565895,16205,Driver,45 to 49,Major,"Automobile, Station Wagon",Stopped,0,0,1,0,1,0,0,1,0,0,0,0,0,12,1220,Clear,Daylight,-79.2564,43.7853
565895,16206,Driver,55 to 59,None,"Automobile, Station Wagon",Stopped,0,0,1,0,1,0,0,1,0,0,0,0,0,12,1220,Clear,Daylight,-79.2564,43.7853
565895,16207,Driver,40 to 44,Minor,"Automobile, Station Wagon",Stopped,0,0,1,0,1,0,0,1,0,0,0,0,0,12,1220,Clear,Daylight,-79.2564,43.7853
565895,16208,Truck Driver,45 to 49,None,"Truck - Closed (Blazer, etc)",Stopped,0,0,1,0,1,0,0,1,0,0,0,0,0,12,1220,Clear,Daylight,-79.2564,43.7853
565895,16209,Passenger,50 to 54,Minor,NULL,NULL,0,0,1,0,1,0,0,1,0,0,0,0,0,12,1220,Clear,Daylight,-79.2564,43.7853
568853,16212,Driver,25 to 29,Major,"Automobile, Station Wagon",Turning Left,0,0,1,0,0,0,0,0,0,0,0,0,0,21,2116,Rain,"Dark, artificial",-79.356,43.6731
568853,16213,Driver,25 to 29,Minimal,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,0,0,0,0,0,0,21,2116,Rain,"Dark, artificial",-79.356,43.6731
627897,16221,Truck Driver,40 to 44,None,Truck - Dump,Going Ahead,1,0,1,0,1,0,0,0,1,1,0,0,0,9,945,Rain,Daylight,-79.478,43.7085
627897,16222,Driver,55 to 59,None,"Automobile, Station Wagon",Turning Left,1,0,1,0,1,0,0,0,1,1,0,0,0,9,945,Rain,Daylight,-79.478,43.7085
627897,16223,Pedestrian,40 to 44,Major,NULL,NULL,1,0,1,0,1,0,0,0,1,1,0,0,0,9,945,Rain,Daylight,-79.478,43.7085
838759,16006,Driver,40 to 44,Major,Delivery Van,Going Ahead,0,0,1,0,0,1,0,0,0,1,1,0,0,18,1847,Clear,Daylight,-79.4842,43.6303
838759,16012,Driver,35 to 39,Minimal,"Automobile, Station Wagon",Turning Left,0,0,1,0,0,1,0,0,0,1,1,0,0,18,1847,Clear,Daylight,-79.4842,43.6303
838759,16013,Driver,45 to 49,Minor,"Bus (Other) (Go Bus, Gray Coach)",Turning Left,0,0,1,0,0,1,0,0,0,1,1,0,0,18,1847,Clear,Daylight,-79.4842,43.6303
886039,660,Driver,55 to 59,None,Municipal Transit Bus (TTC),Turning Right,1,0,0,0,0,1,0,0,0,0,0,0,0,18,1820,Clear,"Dark, artificial",-79.2576,43.8098
886039,661,Pedestrian,50 to 54,Major,NULL,NULL,1,0,0,0,0,1,0,0,0,0,0,0,0,18,1820,Clear,"Dark, artificial",-79.2576,43.8098
886573,673,Driver,20 to 24,None,"Automobile, Station Wagon",Going Ahead,1,0,1,0,0,0,0,0,0,0,0,0,0,21,2058,Clear,Dark,-79.4095,43.7043
886573,674,Pedestrian,25 to 29,Major,Other,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,21,2058,Clear,Dark,-79.4095,43.7043
894195,395,Driver,35 to 39,None,"Automobile, Station Wagon",Parked,0,1,1,0,0,0,0,0,0,0,0,0,0,11,1110,Clear,Daylight,-79.3527,43.6886
894195,396,Cyclist,80 to 84,Major,Bicycle,Going Ahead,0,1,1,0,0,0,0,0,0,0,0,0,0,11,1110,Clear,Daylight,-79.3527,43.6886
895313,16023,Pedestrian,10 to 14,Major,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1149,Clear,Daylight,-79.2155,43.7439
895313,16024,Pedestrian,35 to 39,Minor,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1149,Clear,Daylight,-79.2155,43.7439
895313,16025,Pedestrian,50 to 54,Minor,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1149,Clear,Daylight,-79.2155,43.7439
895615,69,Driver,50 to 54,Minimal,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,1,0,0,0,23,2344,Clear,Dark,-79.3912,43.6387
895615,70,Passenger,25 to 29,Minimal,Other,NULL,0,0,1,0,0,0,0,1,0,1,0,0,0,23,2344,Clear,Dark,-79.3912,43.6387
895615,71,Passenger,25 to 29,Minimal,Other,NULL,0,0,1,0,0,0,0,1,0,1,0,0,0,23,2344,Clear,Dark,-79.3912,43.6387
895615,72,Driver,20 to 24,Major,"Automobile, Station Wagon",Stopped,0,0,1,0,0,0,0,1,0,1,0,0,0,23,2344,Clear,Dark,-79.3912,43.6387
895615,73,Driver,25 to 29,Minimal,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,1,0,0,0,23,2344,Clear,Dark,-79.3912,43.6387
895615,74,Driver,30 to 34,None,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,1,0,0,0,23,2344,Clear,Dark,-79.3912,43.6387
899910,83,Driver,45 to 49,None,"Automobile, Station Wagon",Stopped,0,1,1,0,0,0,0,0,0,0,0,0,0,15,1540,Clear,Daylight,-79.3848,43.6585
899910,84,Cyclist,25 to 29,Major,Bicycle,Going Ahead,0,1,1,0,0,0,0,0,0,0,0,0,0,15,1540,Clear,Daylight,-79.3848,43.6585
900010,91,Vehicle Owner,unknown,None,Other,NULL,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1150,Clear,Daylight,-79.2628,43.7887
900010,92,Motorcycle Driver,30 to 34,Major,Motorcycle,Turning Right,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1150,Clear,Daylight,-79.2628,43.7887
904105,902,Passenger,35 to 39,Minor,Other,NULL,0,0,1,0,0,0,0,1,0,0,0,0,0,18,1842,Clear,Daylight,-79.3297,43.6752
904105,901,Passenger,35 to 39,Major,Other,NULL,0,0,1,0,0,0,0,1,0,0,0,0,0,18,1842,Clear,Daylight,-79.3297,43.6752
904105,903,Driver,40 to 44,Minor,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,0,0,0,0,18,1842,Clear,Daylight,-79.3297,43.6752
904105,904,Driver,30 to 34,Minimal,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,0,0,0,0,18,1842,Clear,Daylight,-79.3297,43.6752
904456,157,Driver,40 to 44,None,"Automobile, Station Wagon",Turning Right,1,0,1,0,0,0,0,0,0,1,0,0,0,18,1840,Clear,Daylight,-79.428,43.7123
904456,158,Pedestrian,40 to 44,Fatal,Other,NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,18,1840,Clear,Daylight,-79.428,43.7123
905024,127,Driver,15 to 19,None,"Automobile, Station Wagon",Going Ahead,1,0,1,0,0,0,0,0,0,0,0,0,0,17,1700,Rain,Daylight,-79.5239,43.7174
905024,128,Pedestrian,55 to 59,Major,Other,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,17,1700,Rain,Daylight,-79.5239,43.7174
905408,172,Passenger,20 to 24,Major,Other,NULL,0,0,1,0,0,0,0,1,0,0,0,1,0,6,550,Clear,"Dusk, artificial",-79.2748,43.7494
905408,173,Passenger,20 to 24,Major,Other,NULL,0,0,1,0,0,0,0,1,0,0,0,1,0,6,550,Clear,"Dusk, artificial",-79.2748,43.7494
905408,175,Driver,20 to 24,Minor,"Automobile, Station Wagon",Turning Left,0,0,1,0,0,0,0,1,0,0,0,1,0,6,550,Clear,"Dusk, artificial",-79.2748,43.7494
